method,scale,error,serror,time,rmax,erank
dd TTI,19,0.002449665194923185,5.128449325156173e-06,0.17816758155822754,83,0.01560211181640625
cross,20,1.4687808906410788e-10,5.898857335890092e-13,19.829049428924918,30,0.0069904327392578125
TTI,20,3.2289278252388747e-13,4.933063339163271e-15,0.16137909889221191,30,0.007831573486328125
d cross,20,3.941503566058424e-05,8.221762839809862e-07,19.84333094023168,34,0.009988784790039062
d TTTI,20,3.0464065117582514e-06,1.1463433716391384e-08,0.16359829902648926,39,0.007831573486328125
dd cross,20,22.312077286004616,0.3747702843966452,19.84919556044042,36,0.011606216430664062
dd TTI,20,0.0025971230529637235,4.330777103677983e-06,0.17281270027160645,84,0.007831573486328125
cross,21,1.5392645839528484e-10,8.168712146022861e-13,14.626044479198754,30,0.0037832260131835938
TTI,21,3.3444300324234025e-13,4.469779736204916e-15,0.16954898834228516,30,0.003939628601074219
d cross,21,6.85017294428722e-05,1.3179204434148164e-06,14.642847982235253,34,0.005412101745605469
d TTTI,21,2.5806273017232693e-06,7.82535396954037e-09,0.16695928573608398,38,0.003939628601074219
dd cross,21,86.045236021262,1.9806422432341613,14.647717681713402,36,0.006295204162597656
dd TTI,21,0.0026258355157486183,5.531123554748361e-06,0.17443490028381348,85,0.003939628601074219
cross,22,1.79769208055535e-10,1.0513190750780028e-12,38.94537864997983,29,0.0017867088317871094
TTI,22,3.351014143721918e-13,5.809256015282211e-15,0.16760540008544922,30,0.0019774436950683594
d cross,22,0.00023331459250407446,8.646219726816623e-06,38.9627152569592,33,0.0025949478149414062
d TTTI,22,2.450648046671953e-06,7.250349888595574e-09,0.17116069793701172,38,0.0019774436950683594
dd cross,22,1053.0901771858532,7.1696203138046215,38.966989148408175,35,0.0030498504638671875
dd TTI,22,0.002635902923457977,5.348704937349855e-06,0.18250465393066406,85,0.0019774436950683594
cross,23,1.681847640508229e-10,7.943561078772353e-13,28.429950875230134,29,0.0009329319000244141
TTI,23,3.3532909925142384e-13,4.04549852934784e-15,0.1683037281036377,30,0.0009925365447998047
d cross,23,6.154692419291989e-05,2.814342357885499e-05,28.448045414872468,33,0.0013620853424072266
d TTTI,23,2.4128780825271392e-06,7.183327489851006e-09,0.16942715644836426,38,0.0009925365447998047
dd cross,23,4666.370152079768,104.5710238747565,28.453072470612824,35,0.0016021728515625
dd TTI,23,0.0026338382540408148,2.9376094469975865e-06,0.17606782913208008,86,0.0009925365447998047
cross,24,1.456655700719826e-10,1.0516701533527625e-12,38.725271997042,30,0.0004919767379760742
TTI,24,3.364709716404418e-13,5.184021818180733e-15,0.16515827178955078,30,0.0005029439926147461
d cross,24,0.00015212566130997694,9.080214125870341e-06,38.76286655385047,34,0.0007230043411254883
d TTTI,24,2.4063374628246737e-06,1.0730255299041833e-08,0.16713333129882812,38,0.0005029439926147461
dd cross,24,10667.05699169219,86.06498045260516,38.7527697654441,36,0.0008522272109985352
dd TTI,24,0.0026340357557990543,3.851510815364067e-06,0.176405668258667,86,0.0005029439926147461
cross,25,1.7311528138579877e-10,1.4519183168586176e-12,52.304231306537986,33,0.0005564689636230469
TTI,25,3.3766030743650625e-13,4.158757650308787e-15,0.16950225830078125,30,0.00025200843811035156
d cross,25,0.00021585134277084497,1.7256457804339016e-05,52.34719576500356,37,0.0008174777030944824
d TTTI,25,2.4023971788243572e-06,9.374292597091369e-09,0.1718602180480957,38,0.00025200843811035156
dd cross,25,351079.9408057886,2714.262319566169,52.34955873154104,39,0.0009237527847290039
dd TTI,25,0.002636148633604756,2.3836214112057564e-06,0.17624449729919434,86,0.00025200843811035156
cross,26,2.8085219706065334e-10,2.2308251588323088e-12,348.85168151184916,45,0.0006212890148162842
TTI,26,3.357665097554743e-13,3.2367107983098698e-15,0.1709756851196289,31,0.00013044476509094238
d cross,26,0.0005440657563399267,5.349967477964861e-05,348.92148093506694,52,0.0008262693881988525
d TTTI,26,2.4041829084199827e-06,1.0260918232302505e-08,0.17341876029968262,38,0.00013044476509094238
dd cross,26,1658455.32273253,14033.87173418856,348.9298367910087,54,0.0009053349494934082
dd TTI,26,0.0026373143615199654,3.2810131353214963e-06,0.18438196182250977,86,0.00013044476509094238
cross,27,2.7198507875597424e-10,2.6390127890806166e-12,173.5170463649556,44,0.00035303831100463867
TTI,27,3.3565995492648934e-13,3.588794502841447e-15,0.16913390159606934,31,6.535649299621582e-05
d cross,27,0.00046596472984340183,0.00010791120463817987,173.60093632619828,51,0.00048610568046569824
d TTTI,27,2.4037089473578247e-06,6.8234452973078e-09,0.16819262504577637,39,6.535649299621582e-05
dd cross,27,9882859.920348544,49371.50841884694,173.6130096046254,53,0.0005304217338562012
dd TTI,27,0.002635686800997046,2.995031490973285e-06,0.17716026306152344,86,6.535649299621582e-05
cross,28,1.4041448275764796e-10,6.55605252164278e-13,227.69126763008535,56,0.00028355419635772705
TTI,28,3.354090980329025e-13,2.183207955340091e-15,0.17322444915771484,31,3.2745301723480225e-05
d cross,28,6.549149182851829e-05,5.939185996320513e-05,227.80236997269094,61,0.00038626790046691895
d TTTI,28,2.40819929842674e-06,7.611373354880075e-09,0.17556214332580566,39,3.2745301723480225e-05
dd cross,28,15942611.674548492,29800.840022181033,227.81720175407827,63,0.00041402876377105713
dd TTI,28,0.0026381654348509383,5.515288380446717e-06,0.185713529586792,87,3.2745301723480225e-05
cross,19,1.4078952488264785e-10,8.813325225948191e-13,6.387587208300829,27,0.01291656494140625
TTI,19,2.1407515558848716e-15,6.954798558939064e-18,0.16295480728149414,30,0.01560211181640625
d cross,19,6.749520228374629e-06,7.260476256782199e-08,6.402400869876146,31,0.018535614013671875
d TTTI,19,4.2475640734377824e-06,9.638207270426768e-09,0.16752219200134277,39,0.01560211181640625
dd cross,19,1.9086771734413872,0.0289767318713821,6.405931372195482,33,0.02155303955078125
dd TTI,19,0.002449484611364283,5.232064708762116e-06,0.17832016944885254,83,0.01560211181640625
cross,20,1.44501292000829e-10,7.178565857211691e-13,10.545999360270798,28,0.0071086883544921875
TTI,20,3.2653575717091563e-13,5.538850898817008e-15,0.16109299659729004,30,0.007831573486328125
d cross,20,9.831755325862565e-06,1.2678229846219224e-06,10.559804034419358,32,0.010168075561523438
d TTTI,20,3.037566242685665e-06,1.6497216791490034e-08,0.16314148902893066,39,0.007831573486328125
dd cross,20,7.529833046097771,0.7076707349601,10.563000750727952,34,0.011819839477539062
dd TTI,20,0.0025964445809869715,4.236842188263526e-06,0.1731259822845459,84,0.007831573486328125
cross,21,1.5044200368448632e-10,7.692421292555819e-13,14.496815226972103,30,0.0036153793334960938
TTI,21,3.389321949721081e-13,1.8357153906605442e-15,0.16252350807189941,30,0.003939628601074219
d cross,21,3.2712227985368913e-05,1.0212013354377027e-06,14.51360061019659,34,0.005206108093261719
d TTTI,21,2.5851607057076773e-06,1.224187703378048e-08,0.1644437313079834,38,0.003939628601074219
dd cross,21,53.91533262588698,2.2493357221568253,14.51620128005743,36,0.006070137023925781
dd TTI,21,0.002624307939976479,3.0120081414654687e-06,0.17427372932434082,85,0.003939628601074219
cross,22,1.5588146032300428e-10,1.1128053437107935e-12,111.60868622176349,29,0.0019516944885253906
TTI,22,3.350901151673059e-13,3.5976305824429026e-15,0.16267991065979004,30,0.0019774436950683594
d cross,22,0.00013682157110547825,3.091355423131479e-06,111.64511491172016,33,0.0028095245361328125
d TTTI,22,2.45454626888005e-06,8.718145882406064e-09,0.16504359245300293,38,0.0019774436950683594
dd cross,22,441.6807981797234,5.95548931911367,111.62882710807025,35,0.0032892227172851562
dd TTI,22,0.0026332320235848694,4.493095220422753e-06,0.17479944229125977,85,0.0019774436950683594
cross,23,1.8326239428993926e-10,1.0952658870731854e-12,28.460662990808487,29,0.0009450912475585938
TTI,23,3.3502041165955234e-13,4.409687505527799e-15,0.16785454750061035,30,0.0009925365447998047
d cross,23,0.0003433491301333471,1.5657864405845546e-05,28.478262096643448,33,0.0013709068298339844
d TTTI,23,2.4207925167331004e-06,1.0401351927449027e-08,0.17174363136291504,38,0.0009925365447998047
dd cross,23,9979.653971991447,100.01705303562028,28.48042383790016,35,0.0016086101531982422
dd TTI,23,0.0026336175789074424,3.200511413491271e-06,0.18218278884887695,86,0.0009925365447998047
cross,24,1.3983585935796034e-10,8.487917285187521e-13,38.86728308163583,31,0.0004998445510864258
TTI,24,3.369665558698726e-13,2.7529249966597705e-15,0.1693713665008545,30,0.0005029439926147461
d cross,24,1.1865219857958693e-05,4.992019934965119e-06,38.88692352734506,35,0.0007293224334716797
d TTTI,24,2.4018416343402447e-06,1.0994746913553727e-08,0.17292189598083496,38,0.0005029439926147461
dd cross,24,5142.248942977382,147.32848265495545,38.892325377091765,37,0.0008584260940551758
dd TTI,24,0.0026369211348995667,3.0563616982450266e-06,0.18086934089660645,86,0.0005029439926147461
cross,25,1.7215483582014368e-10,1.2754024954122213e-12,168.9514079913497,28,0.000321805477142334
TTI,25,3.352557040924899e-13,4.227299573627283e-15,0.166182279586792,30,0.00025200843811035156
d cross,25,0.00021011780989420073,3.827385438166717e-05,169.05783446878195,33,0.0005102157592773438
d TTTI,25,2.398567840878382e-06,6.716492506832076e-09,0.1670830249786377,38,0.00025200843811035156
dd cross,25,373373.0639057926,2042.68813554481,168.98176678270102,35,0.0005939602851867676
dd TTI,25,0.0026369961465763573,2.7994525179837704e-06,0.17606568336486816,86,0.00025200843811035156
cross,26,1.6696787750571354e-10,9.978264080522488e-13,69.93723323009908,30,0.00021341443061828613
TTI,26,3.3688092004189875e-13,4.2883472649242095e-15,0.1711866855621338,31,0.00013044476509094238
d cross,26,9.906663532217794e-05,7.001840012399055e-05,69.97617079876363,35,0.00032129883766174316
d TTTI,26,2.4009306307416113e-06,9.233139642521278e-09,0.1736600399017334,38,0.00013044476509094238
dd cross,26,2845356.9592776317,5596.9432103723575,69.98248030804098,37,0.0003705620765686035
dd TTI,26,0.002637449032022486,2.5372842594761007e-06,0.18410611152648926,86,0.00013044476509094238
